date;AdrActCnt;BlkCnt;BlkSizeByte;BlkSizeMeanByte;CapMrktCurUSD;DiffMean;FeeMeanNtv;FeeMeanUSD;FeeMedNtv;FeeMedUSD;FeeTotNtv;FeeTotUSD;HashRate;IssContNtv;IssContPctAnn;IssContUSD;IssTotNtv;IssTotUSD;NVTAdj;NVTAdj90;PriceBTC;PriceUSD;ROI1yr;ROI30d;SplyCur;SplyExpFut10yrCMBI;SplyFF;TxCnt;TxTfrCnt;TxTfrValAdjNtv;TxTfrValAdjUSD;TxTfrValMeanNtv;TxTfrValMeanUSD;TxTfrValMedNtv;TxTfrValMedUSD;TxTfrValNtv;TxTfrValUSD;VtyDayRet180d;VtyDayRet30d;VtyDayRet60d
2015-10-19;1581;4975;3989491;801.907738693467;37043769.38382885;5921606787198.99;0.00177153530278656;0.0008848459664071971;0.00105;0.0005244537115721799;11.699219139603278;5.8435227621535475;0.341093109129236;25966.71875;12.779463763808;12969.849548369919;25966.71875;12969.849548369919;169.28521878;;0.0018893727139703725;0.499479725306838;;-43.47791427828985;74164710.81198;169824067.222684;67253739.19312;6604;6384;438105.059298952;218824.5946741765;80.6718520998131;40.29395452680851;1.56734793;0.7828585135366412;515009.103805207;257236.60569914558;;0.09354870413512761;0.09287569816475857
2016-01-08;2696;5176;5588918;1079.77550231839;75213854.6623003;8302400427732.21;0.00238570450998291;0.0023499189423331662;0.00105;0.00103425;26.049507544506408;25.658764931338812;0.497670877699048;27996.71875;13.3825348451911;27576.76796875;27996.71875;27576.76796875;446.00873052;213.45968347077334;0.002168961321875463;0.985;;22.34353069766864;76359243.31198;178474708.423862;73049242.70627;10919;10640;171205.714342412;168637.62862727582;18.7971584722024;18.515201095119362;1.134188328;1.11717550308;200001.76614423323;197001.73965206972;;0.04767177860503841;0.0538193914426497
2016-01-09;2767;5099;6166658;1209.3857619141;74088362.58719027;8432800952952.03;0.00333252925641111;0.003232253603006964;0.00126;0.0012220866574400937;39.30051752085997;38.11796674026476;0.497718312684798;27595.78125;13.1861198549616;26765.425450206756;27595.78125;26765.425450206756;327.44139961;209.2891270304879;0.0021560972764753774;0.969910045587376;;14.953664113041457;76386839.09323;178618765.186661;73076838.48752;11793;11246;233283.998857194;226264.4939663864;23.2548737135479;22.555135623635916;1.07909963;1.0466295713266205;261524.3097825602;253655.05522341;;0.04721760182081345;0.052205599408353745
2016-01-13;2908;5002;7119076;1423.24590163934;87006079.40509541;8483670874692.34;0.00341424338769545;0.003883462856466436;0.00293852;0.0033423608036;60.312609443641456;68.6013713594811;0.491295876933386;26535.3125;12.6617038219449;30182.060496875;26535.3125;30182.060496875;207.78624283;240.15395990682148;0.0026310478646141607;1.13743;;14.891919191919186;76493568.31198;176476820.12086;73183567.70627;17665;11691;368135.865353457;418728.7773289826;37.0887209243053;42.18582384093258;1.06180567;1.2077296232281;433604.2363260538;493194.4665243434;;0.047322229788299565;0.04416289228187531
2016-01-28;4568;5059;7204798;1424.15457600316;195797300.3008096;10448729611758.8;0.00246680650409434;0.006281607609957189;0.001245488087088;0.0031715772732792327;41.35601104114465;105.31115158094;0.612189118097928;26560.9375;12.6085540420441;67636.18745559156;26560.9375;67636.18745559156;106.98765435;339.4961912080713;0.0067206297913461445;2.54645331911163;;196.09922315251512;76890198.15573;174090002.523672;73830197.54102;16765;16292;718682.904318641;1830092.4670909895;56.8944456602066;144.87904999044937;1.007201655;2.564791997389477;926924.3086960866;2360369.4824444028;;0.07328361533025478;0.06420453161057008
2016-03-10;9951;5196;6347145;1221.54445727483;870873244.9685006;18006278290286.8;0.000819967036647364;0.009155465863826765;0.00042;0.004689573471794274;20.34666204737232;227.18372994504907;1.08330861640598;26630.0;12.4621546548989;297341.2894140036;26630.0;297341.2894140036;109.30880965;226.27424853636572;0.026818528647359077;11.1656511233197;;186.77841931791335;77995742.06198;173928860.034672;75185680.89727;24814;24577;713535.73707995;7967091.104255494;35.010327639285;390.9131041333733;1.23573215;13.797754068769768;860448.8223907078;9607471.36028592;0.09170355030072465;0.10632742475692857;0.09595507253276227
2016-04-12;12764;6015;8730524;1451.45868661679;592230592.6412034;26095428773644.8;0.000660629658465912;0.004951395622208185;0.00042;0.003147884952904734;22.906012147998766;171.67974040890087;1.8168315425411;31385.9375;14.497953198384;235236.47711680576;31385.9375;235236.47711680576;88.33011234;82.86926252330206;0.017535046967327945;7.4949641735827;;-47.734060698574964;79017134.56198;195039758.360274;76357073.76785071;34673;32494;894566.218355767;6704741.757473832;33.918634974737;254.21895395248296;1.02051292007476;7.648707774638591;1102152.1248691026;8260590.6897319695;0.08680699237372272;0.06924189164179063;0.08720393375491177
2016-04-21;13765;5990;9010009;1504.17512520868;646448728.2533369;30871752725767.4;0.000817106211518369;0.00666090044101069;0.00042;0.003423763209468147;30.380826050479268;247.658939297339;2.14006513194769;31373.90625;14.4404858054229;255754.34751441132;31373.90625;255754.34751441132;201.82953898;85.78567185827669;0.018028424410007734;8.15181716540035;;-27.83453688447587;79301180.96823;196313088.76464;76641120.17410071;37181;32025;392911.668769068;3202944.085957785;14.8541920868068;121.08865803138572;1.01674783;8.288342413477556;475705.5015799886;3877864.273455134;0.08437710357251967;0.05872581475281121;0.08119696966698667
2016-05-27;20485;6045;10437181;1726.58081058726;901591856.8220775;41742234718648.4;0.000775326724312677;0.008689268504344056;0.00042;0.004707038539216818;37.995661451688505;425.8262923241253;2.92090289484695;32321.71875;14.6647881877073;362237.0852618496;32321.71875;362237.0852618496;34.67807425;69.77096756755002;0.023753193656346577;11.2072346171829;;43.8129392297116;80447308.15573;198795577.678107;77977241.30366948;49006;49361;2319832.05194134;25998902.078567427;54.4575870730211;610.318955013014;1.0259435;11.497989508473784;2688080.955511396;30125953.938397404;0.07610211727265137;0.06538574919614933;0.059059282572124026
2016-07-02;19728;6003;8298501;1382.39230384808;988374176.441331;56611950439754.1;0.000620923798310187;0.007520322152003357;0.00042;0.005086832413956762;24.37560555027447;295.2252867213346;3.93397080696758;31916.5625;14.2753158036063;386557.6301597068;31916.5625;386557.6301597068;225.72606506;59.776739689272546;0.017234706324840934;12.1115057475161;;-12.412813910273561;81606217.84323;199839723.9064;79186150.99116948;39257;38060;361527.667717412;4378644.425445526;12.2455077090517;148.31153699943238;1.0017230461252;12.132374430564695;466064.0234065086;5644737.098198407;0.08395267552319827;0.09864240554589955;0.0789644887747719
